Parental_OA,treatment,Rep,ID,Generation,Age,Run,Length,n,GR
LOW,Low OA,A,1,2,2,4,104.7,56,
LOW,Low OA,B,2,2,2,4,100.1,25,
LOW,Low OA,C,3,2,2,4,104.5,33,
MODERATE,Moderate OA,A,10,2,2,4,104.1,38,
MODERATE,Moderate OA,B,11,2,2,4,99.2,46,
MODERATE,Moderate OA,C,12,2,2,4,99.6,36,
LOW,Low OA,A,1,2,4,4,111.2,44,3.255701581
LOW,Low OA,B,2,2,4,4,109.3,24,4.604916667
LOW,Low OA,C,3,2,4,4,109.6,41,2.537339246
MODERATE,Moderate OA,A,10,2,4,4,108.3,53,2.093150447
MODERATE,Moderate OA,B,11,2,4,4,107.1,31,3.975098177
MODERATE,Moderate OA,C,12,2,4,4,106.2,39,3.267061966
LOW,Low OA,A,1,2,6,4,129.8,36,9.326907115
LOW,Low OA,B,2,2,6,4,133,19,11.83208333
LOW,Low OA,C,3,2,6,4,129.8,23,10.10956787
MODERATE,Moderate OA,A,10,2,6,4,128.3,22,10.00675386
MODERATE,Moderate OA,B,11,2,6,4,127.9,47,10.38022791
MODERATE,Moderate OA,C,12,2,6,4,124.7,46,9.250105909
LOW,Low OA,A,1,2,8,4,139.3,22,4.724229249
LOW,Low OA,B,2,2,8,4,144.4,20,5.70875
LOW,Low OA,C,3,2,8,4,147.9,39,9.034969342
MODERATE,Moderate OA,A,10,2,8,4,142,38,6.867595694
MODERATE,Moderate OA,B,11,2,8,4,143.3,39,7.723804348
MODERATE,Moderate OA,C,12,2,8,4,139.2,27,7.267045089
LOW,Low OA,A,1,2,10,4,165.4,19,13.06864833
LOW,Low OA,B,2,2,10,4,168.9,25,12.27065
LOW,Low OA,C,3,2,10,4,177.5,15,14.77582051
MODERATE,Moderate OA,A,10,2,10,4,169.1,19,13.53684211
MODERATE,Moderate OA,B,11,2,10,4,167.6,23,12.1473913
MODERATE,Moderate OA,C,12,2,10,4,149.4,35,5.098830688
LOW,Low OA,A,1,2,12,4,181.6,78,8.106905034
LOW,Low OA,B,2,2,12,4,187.7,44,9.403554545
LOW,Low OA,C,3,2,12,4,188.8,41,5.678178862
MODERATE,Moderate OA,A,10,2,12,4,175.2,43,3.059742962
MODERATE,Moderate OA,B,11,2,12,4,173.3,70,2.850978261
MODERATE,Moderate OA,C,12,2,12,4,176.7,88,13.65292857
LOW,Low OA,A,1,2,14,4,201.1,14,9.747401186
LOW,Low OA,B,2,2,14,4,206.6,6,9.448295455
LOW,Low OA,C,3,2,14,4,203.1,9,7.121916376
MODERATE,Moderate OA,A,10,2,14,4,194.6,31,9.675510797
MODERATE,Moderate OA,B,11,2,14,4,194.8,25,10.74808877
MODERATE,Moderate OA,C,12,2,14,4,198.3,27,10.80228261
LOW,Low OA,A,1,2,21,4,350.6,,21.35856144
LOW,Low OA,B,2,2,21,4,349.7,,20.43515306
LOW,Low OA,C,3,2,21,4,315.1,,16.00602041
MODERATE,Moderate OA,A,10,2,21,4,320.6,,18.00062925
MODERATE,Moderate OA,B,11,2,21,4,267.2,,10.33458333
MODERATE,Moderate OA,C,12,2,21,4,317.7,,17.05649068
WILD,Low OA,A,1,1,2,2,96.86,26,
WILD,Low OA,B,2,1,2,2,99.88,22,
WILD,Low OA,C,3,1,2,2,96.08,32,
WILD,Low OA,D,4,1,2,2,96.11,32,
WILD,Low OA,E,5,1,2,2,95.13,35,
WILD,Moderate OA,B,7,1,2,2,95.28,60,
WILD,Moderate OA,C,8,1,2,2,95.4,65,
WILD,Moderate OA,D,9,1,2,2,93.87,71,
WILD,Moderate OA,E,10,1,2,2,93.94,47,
WILD,High OA,A,11,1,2,2,68.86,18,
WILD,High OA,B,12,1,2,2,70.3,20,
WILD,High OA,C,13,1,2,2,66.45,9,
WILD,High OA,D,14,1,2,2,76.81,3,
WILD,Low OA,A,1,1,4,2,107.06,41,5.096
WILD,Low OA,B,2,1,4,2,110.54,54,5.33
WILD,Low OA,C,3,1,4,2,106.23,26,5.076
WILD,Low OA,D,4,1,4,2,107.49,11,5.687
WILD,Low OA,E,5,1,4,2,107.78,49,6.325
WILD,Moderate OA,B,7,1,4,2,106.24,18,5.485
WILD,Moderate OA,C,8,1,4,2,103.19,16,3.895
WILD,Moderate OA,D,9,1,4,2,102.34,38,4.237
WILD,Moderate OA,E,10,1,4,2,102.42,26,4.242
WILD,High OA,A,11,1,4,2,83,15,7.07
WILD,High OA,B,12,1,4,2,79.7,10,4.701
WILD,High OA,C,13,1,4,2,69.58,8,1.562
WILD,High OA,D,14,1,4,2,78.5,6,0.844
WILD,Low OA,A,1,1,8,2,181.13,85,18.517
WILD,Low OA,B,2,1,8,2,166.5,66,13.992
WILD,Low OA,C,3,1,8,2,161.25,96,13.754
WILD,Low OA,D,4,1,8,2,159.13,132,12.912
WILD,Low OA,E,5,1,8,2,153.31,85,11.384
WILD,Moderate OA,A,6,1,8,2,146.08,100,
WILD,Moderate OA,B,7,1,8,2,162.35,72,14.027
WILD,Moderate OA,C,8,1,8,2,165.43,113,15.561
WILD,Moderate OA,D,9,1,8,2,156.14,86,13.45
WILD,Moderate OA,E,10,1,8,2,158.59,96,14.041
WILD,High OA,A,11,1,8,2,110,4,6.75
WILD,High OA,B,12,1,8,2,83.44,12,0.936
WILD,High OA,C,13,1,8,2,113.75,7,11.043
WILD,High OA,D,14,1,8,2,90.58,14,3.02
WILD,High OA,E,15,1,8,2,93.36,12,
WILD,Low OA,A,1,1,10,2,193.76,36,6.319
WILD,Low OA,B,2,1,10,2,174.93,36,4.212
WILD,Low OA,C,3,1,10,2,181.32,64,10.039
WILD,Low OA,D,4,1,10,2,177.87,56,9.369
WILD,Low OA,E,5,1,10,2,183.72,38,15.203
WILD,Moderate OA,A,6,1,10,2,156.64,64,5.282
WILD,Moderate OA,B,7,1,10,2,177.28,36,7.463
WILD,Moderate OA,C,8,1,10,2,178.12,27,6.345
WILD,Moderate OA,D,9,1,10,2,168.02,27,5.938
WILD,Moderate OA,E,10,1,10,2,166.61,32,4.013
WILD,High OA,A,11,1,10,2,136.91,10,13.457
WILD,High OA,B,12,1,10,2,95.91,1,6.233
WILD,High OA,C,13,1,10,2,121.27,2,3.761
WILD,High OA,D,14,1,10,2,90.14,2,-0.218
WILD,High OA,E,15,1,10,2,80.38,4,-6.489
WILD,Low OA,A,1,1,14,2,318.43,40,31.167
WILD,Low OA,B,2,1,14,2,338.52,35,40.898
WILD,Low OA,C,3,1,14,2,298.22,26,29.224
WILD,Low OA,D,4,1,14,2,343.28,28,41.353
WILD,Low OA,E,5,1,14,2,279.22,31,23.875
WILD,Moderate OA,A,6,1,14,2,272.64,28,28.999
WILD,Moderate OA,B,7,1,14,2,284.98,25,26.926
WILD,Moderate OA,C,8,1,14,2,351.71,24,43.396
WILD,Moderate OA,D,9,1,14,2,276.39,24,27.094
WILD,Moderate OA,E,10,1,14,2,298.18,14,32.891
WILD,High OA,A,11,1,14,2,200.48,15,15.892
WILD,High OA,B,12,1,14,2,233.26,9,34.338
WILD,High OA,C,13,1,14,2,192.52,10,17.811
WILD,High OA,D,14,1,14,2,161.11,8,17.742
WILD,High OA,E,15,1,14,2,206.54,9,31.54
WILD,Low OA,A,1,1,18,2,528.73,20,52.574
WILD,Low OA,B,2,1,18,2,584.18,19,61.415
WILD,Low OA,C,3,1,18,2,513.17,21,53.737
WILD,Low OA,D,4,1,18,2,557.09,16,53.453
WILD,Low OA,E,5,1,18,2,556.62,19,69.35
WILD,Moderate OA,A,6,1,18,2,533.34,19,65.174
WILD,Moderate OA,B,7,1,18,2,539.39,18,63.603
WILD,Moderate OA,C,8,1,18,2,582.5,19,57.698
WILD,Moderate OA,D,9,1,18,2,595.27,17,79.719
WILD,Moderate OA,E,10,1,18,2,493.5,17,48.83
WILD,High OA,A,11,1,18,2,472.62,17,68.033
WILD,High OA,B,12,1,18,2,384.06,16,37.7
HIGH,High OA,A,1,3,2,6,90.24547619,,
HIGH,High OA,B,2,3,2,6,95.41661972,,
HIGH,High OA,C,3,3,2,6,84.99127778,,
LOW,High OA,B,5,3,2,6,93.57385965,,
LOW,High OA,C,6,3,2,6,87.02888889,,
MODERATE,High OA,A,7,3,2,6,92.67237443,,
MODERATE,High OA,B,8,3,2,6,92.1250463,,
MODERATE,High OA,C,9,3,2,6,87.35333333,,
HIGH,Low OA,A,10,3,2,6,98.0612,,
HIGH,Low OA,B,11,3,2,6,97.4775,,
HIGH,Low OA,C,12,3,2,6,98.17839744,,
LOW,Low OA,A,13,3,2,6,100.6431293,,
LOW,Low OA,B,14,3,2,6,101.9740741,,
LOW,Low OA,C,15,3,2,6,99.96112903,,
MODERATE,Low OA,A,16,3,2,6,100.2664848,,
MODERATE,Low OA,B,17,3,2,6,101.1449593,,
MODERATE,Low OA,C,18,3,2,6,102.5317054,,
HIGH,Moderate OA,A,19,3,2,6,98.56703704,,
HIGH,Moderate OA,B,20,3,2,6,100.4175969,,
HIGH,Moderate OA,C,21,3,2,6,95.02768116,,
LOW,Moderate OA,A,22,3,2,6,98.43493827,,
