"","X","Date","pCO2_parents","pH_parents","pCO2_offspring","pH_offspring","Channel","Chamber_tank","Num_indivs","Lpc","BLANK.mean_Lpc","resp_blankStand","resp_mg_hr","resp_umol_hr","resp_umol_hr_indiv","Filename","Expeirment"
"1",36,"4/12/2023","500 uatm",8,"1200 uatm",7,"B1","14",4,-0.015203886,0.005591218,0.009612668,4.61408064e-05,0.0014419002,0.00036047505,"SDR_979_resp_Plate3.csv",6
"2",37,"4/12/2023","800 uatm",7.5,"1200 uatm",7,"C4","17",1,-0.020819952,0.005591218,0.015228734,7.30979232e-05,0.0022843101,0.0022843101,"SDR_873_resp_Plate2.csv",6
"3",38,"4/12/2023","800 uatm",7.5,"1200 uatm",7,"B4","17",1,-0.02284222,0.005591218,0.017251002,8.28048096e-05,0.0025876503,0.0025876503,"SDR_873_resp_Plate2.csv",6
"4",39,"4/12/2023","1200 uatm",7,"1200 uatm",7,"C5","25",7,-0.008998846,0.005591218,0.003407628,1.63566144e-05,0.0005111442,7.30206e-05,"SDR_979_resp_Plate3.csv",6
"5",40,"4/12/2023","1200 uatm",7,"1200 uatm",7,"D1","27",4,-0.021334402,0.005591218,0.015743184,7.55672832e-05,0.0023614776,0.0005903694,"SDR_799_resp_Plate1.csv",6
"6",41,"4/12/2023","500 uatm",8,"1200 uatm",7,"C4","13",4,-0.013057591,0.005591218,0.007466373,3.58385904e-05,0.00111995595,0.0002799889875,"SDR_979_resp_Plate3.csv",6
"7",42,"4/12/2023","800 uatm",7.5,"1200 uatm",7,"B6","16",7,-0.007215004,0.005591218,0.001623786,7.7941728e-06,0.0002435679,3.47954142857143e-05,"SDR_979_resp_Plate3.csv",6
"8",43,"4/12/2023","500 uatm",8,"1200 uatm",7,"A2","14",4,-0.01445337,0.005591218,0.008862152,4.25383296e-05,0.0013293228,0.0003323307,"SDR_979_resp_Plate3.csv",6
"9",44,"4/12/2023","500 uatm",8,"1200 uatm",7,"B1","15",5,-0.020866576,0.005591218,0.015275358,7.33217184e-05,0.0022913037,0.00045826074,"SDR_873_resp_Plate2.csv",6
"10",45,"4/12/2023","1200 uatm",7,"1200 uatm",7,"D3","26",7,-0.008831966,0.005591218,0.003240748,1.55555904e-05,0.0004861122,6.94446e-05,"SDR_799_resp_Plate1.csv",6
"11",46,"4/12/2023","800 uatm",7.5,"1200 uatm",7,"C2","18",4,-0.019258606,0.005591218,0.013667388,6.56034624e-05,0.0020501082,0.00051252705,"SDR_873_resp_Plate2.csv",6
"12",47,"4/12/2023","500 uatm",8,"1200 uatm",7,"D3","13",4,-0.005989703,0.005591218,0.000398485,1.912728e-06,5.977275e-05,1.49431875e-05,"SDR_979_resp_Plate3.csv",6
"13",48,"4/12/2023","1200 uatm",7,"1200 uatm",7,"D4","26",7,-0.010655061,0.005591218,0.005063843,2.43064464e-05,0.00075957645,0.000108510921428571,"SDR_799_resp_Plate1.csv",6
"14",49,"4/12/2023","800 uatm",7.5,"1200 uatm",7,"D3","18",4,-0.020005933,0.005591218,0.014414715,6.9190632e-05,0.00216220725,0.0005405518125,"SDR_873_resp_Plate2.csv",6
"15",50,"4/12/2023","800 uatm",7.5,"1200 uatm",7,"C6","16",7,-0.010705594,0.005591218,0.005114376,2.45490048e-05,0.0007671564,0.000109593771428571,"SDR_979_resp_Plate3.csv",6
"16",51,"4/12/2023","1200 uatm",7,"1200 uatm",7,"D5","25",7,-0.013151435,0.005591218,0.007560217,3.62890416e-05,0.00113403255,0.00016200465,"SDR_979_resp_Plate3.csv",6
"17",52,"4/12/2023","500 uatm",8,"1200 uatm",7,"A2","15",5,-0.018736415,0.005591218,0.013145197,6.30969456e-05,0.00197177955,0.00039435591,"SDR_873_resp_Plate2.csv",6
