"","Date","pH","Channel","Filename","Lpc","Leq","Lz","alpha","pH_parents","Replicate","Chamber_tank","Number","Plate","Run","Num_indivs","filetype","Date_formatted.x","BLANK.mean_Lpc","n","Date_formatted.y","resp_blankStand"
"1","3/16/2023",7,"A6","SDR_799_resp_Plate1.csv",-0.000203126,-0.000203126,-0.000316056,0.4,8,NA,"14",2,1,1,14,"SDR_data","20230316",0.0029864295,4,"20230316",-0.0027833035
"2","3/16/2023",7,"A2","SDR_799_resp_Plate1.csv",-0.00065597,0.000894251,0.000894251,0.4,8,NA,"13",1,1,1,15,"SDR_data","20230316",0.0029864295,4,"20230316",-0.0023304595
"3","3/16/2023",7,"A5","SDR_799_resp_Plate1.csv",-6.66e-05,-0.000319164,-0.000319164,0.4,8,NA,"14",1,1,1,14,"SDR_data","20230316",0.0029864295,4,"20230316",-0.0029198295
"4","3/16/2023",7,"A3","SDR_799_resp_Plate1.csv",-1.66e-05,9.77e-05,0.000237288,0.4,8,NA,"13",2,1,1,15,"SDR_data","20230316",0.0029864295,4,"20230316",-0.0029698295
"5","3/16/2023",7,"C1","SDR_799_resp_Plate1.csv",-0.00148428,-0.001574693,-0.001574693,0.4,8,NA,"13",3,1,1,15,"SDR_data","20230316",0.0029864295,4,"20230316",-0.0015021495
"6","3/16/2023",7,"B4","SDR_799_resp_Plate1.csv",-0.002700023,-0.002700023,-0.000945537,0.4,8,NA,"14",3,1,1,14,"SDR_data","20230316",0.0029864295,4,"20230316",-0.0002864065
"7","3/16/2023",7.5,"A2","SDR_979_resp_Plate3.csv",-0.000518386,-0.000349525,-0.000349525,0.4,7.5,NA,"10",1,3,1,17,"SDR_data","20230316",0.00285058933333333,3,"20230316",-0.00233220333333333
"8","3/16/2023",7.5,"C6","SDR_799_resp_Plate1.csv",-0.001083221,-0.001083221,-0.002499077,0.4,8,NA,"9",2,1,1,12,"SDR_data","20230316",0.00285058933333333,3,"20230316",-0.00176736833333333
"9","3/16/2023",7.5,"B1","SDR_799_resp_Plate1.csv",-0.00106502,-0.000968221,-0.000968221,0.4,8,NA,"8",2,1,1,19,"SDR_data","20230316",0.00285058933333333,3,"20230316",-0.00178556933333333
"10","3/16/2023",8,"C3","SDR_873_resp_Plate2.csv",-0.001092579,-0.000518181,-0.000518181,0.4,7.5,NA,"4",2,2,1,10,"SDR_data","20230316",0.003310325,4,"20230316",-0.002217746
"11","3/16/2023",8,"B3","SDR_873_resp_Plate2.csv",-0.001498019,-0.002442283,-0.001075898,0.4,7.5,NA,"4",1,2,1,10,"SDR_data","20230316",0.003310325,4,"20230316",-0.001812306
"12","3/16/2023",8,"A1","SDR_873_resp_Plate2.csv",-0.000974896,-0.000966465,-0.001301313,0.4,7.5,NA,"5",1,2,1,13,"SDR_data","20230316",0.003310325,4,"20230316",-0.002335429
"13","3/16/2023",8,"B6","SDR_799_resp_Plate1.csv",-0.002402508,-0.002557967,-0.002249946,0.4,8,NA,"1",1,1,1,16,"SDR_data","20230316",0.003310325,4,"20230316",-0.000907817
"14","3/16/2023",8,"C4","SDR_799_resp_Plate1.csv",-0.000435613,-0.000435613,-0.000859389,0.4,8,NA,"1",2,1,1,16,"SDR_data","20230316",0.003310325,4,"20230316",-0.002874712
"15","4/12/2023",8,"D6","SDR_979_resp_Plate3.csv",-0.00417189,-0.004263881,-0.004541067,0.4,7.5,NA,"4",2,3,1,7,"SDR_data","20230412",0.0066160525,2,"20230412",-0.0024441625
"16","4/20/2022",7,"B6","RR_4.20.22_resp_Plate2.csv",-4.4e-05,-4.08e-05,-4.4e-05,0.4,8,NA,"20",1,NA,2,3,"SDR_data","20220420",6.62293333333333e-05,6,"20220420",-2.22293333333333e-05
